测试11,#genre#
广州法治,http://tencentplaygzrb01.gztv.com/live/fazhi.m3u8
广州,http://tencentplaygzrb01.gztv.com/live/jingsai.m3u8
广州影视,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8
广州新闻,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
广州南国都市,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8
CCTV13,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8


测试可以看,#genre#
986,https://cdn.163.dedyn.io/live/cctv1/stream.m3u8
987,https://cdn.163189.xyz/live/fhzw/stream.m3u8
988,https://cdn3.132.us.kg/live/lhkt/stream.m3u8
989,https://cdn3.132.us.kg/live/lhox/stream.m3u8
990,https://cdn3.132.us.kg/live/lhrh/stream.m3u8
991,https://cdn3.132.us.kg/live/lhxj/stream.m3u8
992,https://cdn5.132.us.kg/live/cctv1/stream.m3u8
993,https://cdn5.163189.xyz/live/rthk31/stream.m3u8
994,https://cdn5.163189.xyz/live/rthk32/stream.m3u8
995,https://cdn6.132.us.kg/live/8tv/stream.m3u8
996,https://cdn6.132.us.kg/live/ch5/stream.m3u8
997,https://cdn6.132.us.kg/live/ch8/stream.m3u8
998,https://cdn6.132.us.kg/live/chu/stream.m3u8
999,https://cdn6.163189.xyz/live/8tv/stream.m3u8
1000,https://cdn6.163189.xyz/live/ch5/stream.m3u8
1001,https://cdn6.163189.xyz/live/ch8/stream.m3u8
1002,https://cdn6.163189.xyz/live/chu/stream.m3u8
1003,https://cdn6.163189.xyz/live/fhhk/stream.m3u8
1004,https://cdn6.163189.xyz/live/fhzx/stream.m3u8
1005,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
1006,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
1007,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
1008,https://cdn8.163189.xyz/live/lhox/stream.m3u8
1009,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
1010,https://cdn8.163189.xyz/live/lhxj/stream.m3u8

测试RHK3,#genre#
RHK33-CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RHK34-CGTV,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
RHK35-CGTV,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
测试地方,#genre#
1014,https://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
1015,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
1016,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
983,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
984,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv

768,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
